customer_id,contract,payment_method,paperless_billing
0872-CASZJ,One year,Mailed check,Yes
7562-GSUHK,Month-to-month,Credit card (automatic),Yes
0661-KQHNK,One year,Credit card (automatic),No
8144-DGHXP,Two year,Electronic check,No
2834-JKOOW,One year,Mailed check,No
7670-ZBPOQ,One year,Bank transfer (automatic),Yes
9084-OAYKL,Two year,Mailed check,No
3070-BDOQC,Two year,Electronic check,Yes
7074-IEVOJ,Month-to-month,Electronic check,Yes
3003-CMDUU,Month-to-month,Electronic check,Yes
2961-VNFKL,Two year,Credit card (automatic),Yes
9074-KGVOX,Month-to-month,Credit card (automatic),Yes
7765-LWVVH,Two year,Electronic check,Yes
5871-DGTXZ,One year,Mailed check,No
7377-DMMRI,Month-to-month,Electronic check,Yes
0506-YLVKJ,Two year,Mailed check,Yes
4526-RMTLL,Two year,Credit card (automatic),Yes
2057-ZBLPD,Month-to-month,Electronic check,Yes
4694-PHWFW,Month-to-month,Mailed check,No
7787-BNTZM,Month-to-month,Bank transfer (automatic),No
0607-MVMGC,One year,Credit card (automatic),No
1450-SKCVI,Month-to-month,Electronic check,Yes
4698-KVLLG,Two year,Credit card (automatic),No
6598-KELSS,One year,Bank transfer (automatic),Yes
9795-VOWON,One year,Credit card (automatic),Yes
5973-EJGDP,Month-to-month,Electronic check,Yes
6181-AXXYF,Two year,Credit card (automatic),No
2057-BOYKM,Two year,Bank transfer (automatic),Yes
3755-JBMNH,Month-to-month,Bank transfer (automatic),Yes
8861-HGGKB,Month-to-month,Electronic check,No
2000-MPKCA,One year,Electronic check,Yes
2568-BRGYX,Month-to-month,Electronic check,Yes
2195-ZRVAX,Month-to-month,Electronic check,Yes
5461-QKNTN,Month-to-month,Electronic check,Yes
3197-ARFOY,Month-to-month,Mailed check,Yes
5924-IFQTT,Month-to-month,Electronic check,Yes
4702-HDRKD,One year,Bank transfer (automatic),Yes
2525-GVKQU,Two year,Mailed check,No
9861-PDSZP,Two year,Credit card (automatic),Yes
7130-VTEWQ,Month-to-month,Electronic check,Yes
5339-PXDVH,Month-to-month,Electronic check,No
1120-BMWUB,Month-to-month,Mailed check,Yes
0869-PAPRP,Month-to-month,Credit card (automatic),Yes
5795-KTGUD,Two year,Bank transfer (automatic),Yes
7479-NITWS,Month-to-month,Credit card (automatic),Yes
0326-VDYXE,One year,Electronic check,Yes
1236-WFCDV,Month-to-month,Credit card (automatic),No
8035-PWSEV,Month-to-month,Electronic check,Yes
5928-QLDHB,Month-to-month,Electronic check,Yes
5743-KHMNA,Two year,Bank transfer (automatic),No
2082-CEFLT,Month-to-month,Electronic check,Yes
1162-ECVII,Two year,Bank transfer (automatic),Yes
8380-PEFPE,Month-to-month,Electronic check,Yes
3737-GCSPV,Month-to-month,Credit card (automatic),Yes
2077-DDHJK,Two year,Credit card (automatic),No
8966-OIQHG,One year,Bank transfer (automatic),No
0536-ACXIP,Two year,Electronic check,Yes
1488-SYSFC,Month-to-month,Electronic check,Yes
9506-UXUSK,Month-to-month,Electronic check,Yes
7576-JMYWV,Month-to-month,Electronic check,Yes
8246-SHFGA,Month-to-month,Credit card (automatic),No
0928-XUTSN,Month-to-month,Electronic check,Yes
0265-EDXBD,Month-to-month,Electronic check,Yes
6635-MYYYZ,One year,Bank transfer (automatic),No
0254-FNMCI,Two year,Electronic check,Yes
0585-EGDDA,Month-to-month,Electronic check,Yes
6502-KUGLL,Month-to-month,Bank transfer (automatic),No
1395-OFUWC,Month-to-month,Credit card (automatic),No
1545-ACTAS,One year,Bank transfer (automatic),Yes
4186-ZBUEW,One year,Mailed check,Yes
6289-CPNLD,One year,Mailed check,Yes
0191-EQUUH,Two year,Bank transfer (automatic),No
2027-WKXMW,Month-to-month,Electronic check,Yes
1302-UHBDD,Month-to-month,Electronic check,No
8884-MRNSU,One year,Bank transfer (automatic),No
7054-ENNGU,Month-to-month,Mailed check,No
0815-MFZGM,Two year,Credit card (automatic),Yes
8665-UTDHZ,Month-to-month,Electronic check,No
7780-OTDSO,Month-to-month,Electronic check,Yes
2419-FSORS,Two year,Electronic check,Yes
4749-OJKQU,Month-to-month,Electronic check,Yes
2294-DMMUS,Month-to-month,Credit card (automatic),Yes
0515-YPMCW,Month-to-month,Mailed check,Yes
0407-BDJKB,Month-to-month,Electronic check,Yes
2829-HYVZP,One year,Mailed check,Yes
7569-NMZYQ,Two year,Bank transfer (automatic),Yes
3307-TLCUD,Month-to-month,Mailed check,No
0201-OAMXR,One year,Credit card (automatic),No
0613-WUXUM,Two year,Mailed check,Yes
5802-ADBRC,One year,Mailed check,Yes
2960-NKRSO,Month-to-month,Electronic check,Yes
3057-VJJQE,Two year,Mailed check,No
5494-WOZRZ,Two year,Credit card (automatic),Yes
3733-LSYCE,Month-to-month,Bank transfer (automatic),No
3164-AALRN,One year,Mailed check,Yes
