customer_id,phone_service,internet_service,online_backup,online_security,device_protection,tech_support,streaming_tv,streaming_movies
3389-KTRXV,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4950-BDEUX,No,DSL,No,No,Yes,No,Yes,Yes
5537-UXXVS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7243-LCGGZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3088-FVYWK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9227-YBAXE,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
5339-TJFEK,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
1430-SFQSA,No,DSL,No,Yes,No,Yes,No,No
0757-WCUUZ,Yes,DSL,No,No,Yes,No,No,Yes
4312-GVYNH,No,DSL,No,Yes,Yes,Yes,No,Yes
4143-OOBWZ,Yes,Fiber optic,Yes,No,No,No,No,No
2521-NPUZR,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
4760-XOHVN,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5619-XZZKR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2959-MJHIC,Yes,Fiber optic,No,No,No,No,Yes,No
4910-GMJOT,Yes,Fiber optic,No,No,No,No,Yes,Yes
7714-YXSMB,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
1196-AMORA,Yes,Fiber optic,No,No,No,No,No,No
3724-UCSHY,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6549-NNDYT,No,DSL,No,Yes,No,No,No,No
5753-QQWPW,Yes,DSL,Yes,Yes,No,Yes,No,No
1449-XQEMT,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7908-QCBCA,Yes,Fiber optic,No,No,No,No,No,No
2292-XQWSV,No,DSL,Yes,No,Yes,Yes,Yes,Yes
9565-JSNFM,Yes,Fiber optic,No,No,No,No,No,No
5590-YRFJT,No,DSL,No,No,No,No,No,No
9565-AXSMR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3544-FBCAS,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
7762-ONLJY,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9073-ZZIAY,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
4983-CCWMC,Yes,Fiber optic,No,No,No,No,No,No
7622-FWGEW,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
9199-PWQVC,Yes,DSL,Yes,Yes,No,No,Yes,Yes
9470-YFUYI,Yes,DSL,Yes,Yes,No,Yes,Yes,No
9499-XPZXM,Yes,DSL,Yes,Yes,No,Yes,No,No
3373-YZZYM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3605-JISKB,Yes,DSL,Yes,Yes,No,No,No,No
8149-AIQCG,Yes,Fiber optic,No,No,No,No,No,No
8806-EAGWC,Yes,DSL,No,No,No,No,Yes,No
7695-PKLCZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9896-UYMIE,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
0668-OGMHD,No,DSL,No,Yes,No,No,No,No
3420-ZDBMA,Yes,Fiber optic,No,No,No,No,No,No
2672-OJQZP,Yes,DSL,No,No,No,No,No,No
9371-BITHB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9717-QEBGU,Yes,Fiber optic,No,No,No,No,No,No
1915-OAKWD,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9286-BHDQG,No,DSL,Yes,Yes,Yes,Yes,No,No
2465-BLLEU,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7893-IXHRQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9432-RUVSL,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
0731-EBJQB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7295-JOMMD,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
2954-PIBKO,Yes,DSL,No,Yes,Yes,Yes,No,No
3082-VQXNH,No,DSL,Yes,No,No,No,No,No
1676-MQAOA,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
7247-XOZPB,Yes,DSL,No,Yes,Yes,Yes,Yes,No
2819-GWENI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7603-USHJS,Yes,Fiber optic,No,No,No,No,No,No
5229-DTFYB,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
2908-ZTPNF,No,DSL,Yes,No,No,Yes,No,No
5006-MXVRN,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6048-QBXKL,Yes,DSL,Yes,No,No,No,No,No
8763-KIAFH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2868-LLSKM,Yes,Fiber optic,Yes,No,No,Yes,No,No
6603-YRDCJ,Yes,DSL,Yes,Yes,No,Yes,No,No
5676-CFLYY,Yes,DSL,Yes,No,No,Yes,Yes,Yes
4829-AUOAX,Yes,Fiber optic,No,No,No,No,Yes,Yes
5546-BYZSM,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8149-RSOUN,Yes,Fiber optic,No,No,No,No,Yes,Yes
8865-TNMNX,Yes,DSL,Yes,No,No,No,No,No
4508-OEBEY,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
4098-NAUKP,Yes,Fiber optic,Yes,No,Yes,No,No,No
1095-JUDTC,Yes,Fiber optic,Yes,No,No,Yes,Yes,No
3776-EKTKM,No,DSL,No,No,No,No,Yes,No
5207-PLSTK,Yes,DSL,No,Yes,No,No,No,No
6096-EGVTU,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1301-LOPVR,No,DSL,Yes,Yes,Yes,Yes,No,Yes
8851-RAGOV,Yes,DSL,Yes,Yes,No,Yes,No,Yes
3896-RCYYE,No,DSL,No,No,Yes,Yes,Yes,Yes
5494-WOZRZ,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
6463-MVYRY,Yes,DSL,No,Yes,Yes,Yes,Yes,No
4741-WWJQZ,Yes,Fiber optic,No,Yes,No,Yes,No,No
5685-IIXLY,Yes,Fiber optic,Yes,No,No,No,No,Yes
9912-GVSEQ,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
1038-RQOST,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1764-VUUMT,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2239-CGBUZ,Yes,DSL,Yes,Yes,No,Yes,No,No
2272-WUSPA,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
9030-QGZNL,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3197-ARFOY,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
8752-GHJFU,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
4059-IIEBK,Yes,Fiber optic,Yes,No,No,No,No,No
5609-IMCGG,Yes,Fiber optic,No,Yes,Yes,No,No,No
6994-FGRHH,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
1157-BQCUW,Yes,Fiber optic,No,No,No,No,No,No
6691-CCIHA,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
1904-WAJAA,Yes,DSL,Yes,Yes,Yes,No,No,No
8096-LOIST,Yes,DSL,No,No,No,No,No,Yes
7016-BPGEU,No,DSL,No,No,No,No,No,No
3571-RFHAR,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
4163-NCJAK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6050-FFXES,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
9364-YKUVW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3981-QSVQI,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6284-AHOOQ,Yes,Fiber optic,No,No,No,Yes,Yes,No
2013-SGDXK,Yes,Fiber optic,Yes,No,No,No,Yes,No
3308-MHOOC,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0523-VNGTF,No,DSL,Yes,No,Yes,Yes,Yes,No
6656-JWRQX,No,DSL,No,No,No,Yes,No,No
2959-FENLU,Yes,Fiber optic,No,No,Yes,No,No,Yes
9824-QCJPK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1051-GEJLJ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2625-TRCZQ,No,DSL,Yes,No,No,No,Yes,Yes
9746-UGFAC,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7594-RQHXR,Yes,Fiber optic,No,No,No,No,No,Yes
4086-WITJG,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
8591-NXRCV,Yes,DSL,No,Yes,Yes,Yes,No,Yes
5968-HYJRZ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
7014-ZZXAW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1550-LOAHA,Yes,Fiber optic,Yes,No,No,No,No,Yes
0924-BJCRC,Yes,Fiber optic,Yes,No,No,No,No,Yes
9992-UJOEL,Yes,DSL,Yes,No,No,No,No,No
0620-DLSLK,Yes,Fiber optic,No,No,No,No,Yes,No
2501-XWWTZ,Yes,Fiber optic,No,No,No,No,No,No
5168-MQQCA,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
4915-BFSXL,Yes,DSL,No,Yes,Yes,No,Yes,No
3803-KMQFW,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1839-FBNFR,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
4750-UKWJK,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3682-YEUWS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
2842-JTCCU,Yes,DSL,No,No,No,No,No,No
4112-LUEIZ,Yes,Fiber optic,No,No,No,No,Yes,Yes
7586-ZATGZ,Yes,Fiber optic,No,No,No,No,Yes,No
8182-BJDSI,Yes,Fiber optic,Yes,No,No,No,No,Yes
2522-WLNSF,Yes,DSL,No,No,Yes,Yes,Yes,No
2530-ENDWQ,Yes,Fiber optic,No,No,No,No,Yes,Yes
9351-LZYGF,Yes,DSL,Yes,Yes,No,Yes,No,No
6823-SIDFQ,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
5624-RYAMH,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9863-JZAIC,Yes,DSL,No,No,No,No,Yes,No
7409-JURKQ,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
8468-EHYJA,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
5364-EVNIB,Yes,Fiber optic,Yes,No,Yes,No,No,No
0848-SOMKO,No,DSL,No,Yes,Yes,Yes,No,Yes
2254-DLXRI,Yes,Fiber optic,Yes,No,No,No,No,No
1228-FZFRV,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
5345-BMKWB,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9970-QBCDA,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
9067-SQTNS,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
1830-GGFNM,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
7266-GSSJX,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
6579-JPICP,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
0260-ZDLGK,Yes,DSL,No,No,Yes,Yes,Yes,Yes
8735-NBLWT,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
3721-CNEYS,Yes,Fiber optic,No,No,No,No,No,No
0430-IHCDJ,Yes,DSL,No,No,No,No,No,No
0829-XXPLX,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
4236-UJPWO,No,DSL,No,No,No,No,No,No
9254-RBFON,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
3487-EARAT,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
2984-MIIZL,Yes,Fiber optic,No,No,Yes,No,No,No
